time,speed_north,speed_east,speed_forward,speed_right,speed_up,North,East,Forward,Right,Altitude,Altitude_sensor,Heading,lat2,lat3
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73859400598624,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73859400598624,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73859400598624,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73859400598624,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73859400598624,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73859400598624,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73859400598624,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73859400598624,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.742159364733,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.742159364733,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.742159364733,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.742159364733,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.742159364733,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.742159364733,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.742159364733,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.742159364733,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74597744047904,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74597744047904,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74597744047904,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74597744047904,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74597744047904,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74597744047904,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74597744047904,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74597744047904,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74597744047904,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74597744047904,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74785574250079,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74785574250079,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74785574250079,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74785574250079,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74785574250079,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74785574250079,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74785574250079,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74785574250079,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74785574250079,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74785574250079,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75017800681859,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75017800681859,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75017800681859,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75017800681859,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75017800681859,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75017800681859,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75017800681859,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75017800681859,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75017800681859,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75017800681859,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75017800681859,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7541395165372,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7541395165372,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7541395165372,37.50364183333308,37.50364183333308
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7541395165372,37.50364183333308,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7541395165372,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7541395165372,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7541395165372,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7541395165372,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7541395165372,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75800540360743,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75800540360743,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75800540360743,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75800540360743,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75800540360743,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75800540360743,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75800540360743,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75800540360743,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75800540360743,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75800540360743,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75800540360743,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75800540360743,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76027985660104,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76027985660104,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76027985660104,37.503641666666354,37.503641666666354
