time,speed_north,speed_east,speed_forward,speed_right,speed_up,North,East,Forward,Right,Altitude,Heading
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89253747426959
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89253747426959
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067138,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067139,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067139,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067139,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067139,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067139,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067139,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067139,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067139,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
14:18:1626067139,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89246917237789
