time,speed_north,speed_east,speed_up,North,East,Altitude
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814483,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814483,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814483,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-5.893383747512804e-06,0.0003429865440622848,0.001448695192959093
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-1.1697187452863744e-05,0.0006807596572002694,0.0028753700692334405
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-1.7576864207835552e-05,0.0010229484738104588,0.0043206958474293344
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-2.3387590636692046e-05,0.001361124479601017,0.00574907244833156
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-2.9191878932688375e-05,0.0016989257952246817,0.007175866445329859
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-3.503036548280214e-05,0.002038717400552059,0.008611066961989877
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-4.0803986113668866e-05,0.0023747339017248237,0.010030322318886675
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-4.660917436372092e-05,0.002712587593393323,0.011457337540086598
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-5.243914596392285e-05,0.003051883640758035,0.012890444935454326
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-5.8221627680876686e-05,0.0033884158445260937,0.014311878499874808
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-6.40425997405214e-05,0.0037271881314424604,0.015742773653226294
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-6.986177189205467e-05,0.004065855666269158,0.01717322635817453
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-7.564702269841073e-05,0.004402549027098246,0.018595340612446165
