time,speed_north,speed_east,speed_up,North,East,Altitude
16:19:1625815152,-0.07254526019096375,-0.03420175984501839,0.23154303431510925,-0.0014597940349858618,-0.0006882258727358703,0.004659231208847814
16:19:1625815152,-0.07254526019096375,-0.03420175984501839,0.23154303431510925,-0.002915696438954285,-0.0013746170201001107,0.009306041481416116
16:19:1625815152,-0.07254526019096375,-0.03420175984501839,0.23154303431510925,-0.004360961718141709,-0.0020559932514485624,0.013918901194820421
16:19:1625815152,-0.07254526019096375,-0.03420175984501839,0.23154303431510925,-0.00581364704046905,-0.0027408676925055886,0.01855544349339766
16:19:1625815152,-0.07254526019096375,-0.03420175984501839,0.23154303431510925,-0.007265121633146521,-0.0034251713301136633,0.02318812150068794
16:19:1625815153,-0.07254526019096375,-0.03420175984501839,0.23154303431510925,-0.008712964036874382,-0.004107762557374883,0.027809206634117345
16:19:1625815153,-0.07254526019096375,-0.03420175984501839,0.23154303431510925,-0.010211726270448196,-0.0048143601468320085,0.032592812818244
16:19:1625815153,-0.07254526019096375,-0.03420175984501839,0.23154303431510925,-0.011661367472513007,-0.005497799424931671,0.0372196391844426
16:19:1625815153,-0.07254526019096375,-0.03420175984501839,0.23154303431510925,-0.01311265180767407,-0.00618201336485491,0.041851709945959215
16:19:1625815153,-0.07254526019096375,-0.03420175984501839,0.23154303431510925,-0.014561186056916142,-0.006864930765515531,0.04647500324583831
16:19:1625815153,-0.07254526019096375,-0.03420175984501839,0.23154303431510925,-0.01603262039267861,-0.007558644505696321,0.05117138685520217
16:19:1625815153,-0.07254526019096375,-0.03420175984501839,0.23154303431510925,-0.017465882152194467,-0.008234361628565168,0.05574593488070434
